ID,Term,NewDefinition,Scores,AccessTime
431,placid,"平靜的
溫和的
寧靜的","0.8949028887
0.8949028887
0.8949028887","2025-06-22
2025-06-22
2025-06-22"
432,platitude,"陳腔濫調
老生常談
陳詞","0.7117092599
0.7117092599
0.7117092599","2025-03-10
2025-03-10
2025-03-10"
433,proprietary,"專有的
所有權的
私營的","0.8774979686
0.8774979686
0.8774979686","2025-06-28
2025-06-28
2025-06-28"
434,proximity,"接近
鄰近
靠近","0.857147656
0.857147656
0.857147656","2025-06-22
2025-06-22
2025-06-22"
435,repugnant,"令人厭惡的
令人反感的
與…矛盾的
不一致的","0.8590570162
0.8590570162
0.8590570162
0.8590570162","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
436,compulsory,"強制性的
義務的
必須做的","0.88336
0.88336
0.88336","2025-02-27
2025-02-27
2025-02-27"
437,acquiescence,"默許
默認
順從","0.9175334032
0.9175334032
0.9175334032","2025-06-28
2025-06-28
2025-06-28"
438,quiescent,"靜止的
不活動的
休眠的
寂靜的","0.9165685394
0.9165685394
0.9165685394
0.9165685394","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
439,tranquil,"寧靜的
平靜的
安寧的","0.9051328
0.9051328
0.9051328","2025-02-27
2025-02-27
2025-02-27"
440,riveting,"引人入勝的
非常精彩的
令人著迷的","0.9163113481
0.9163113481
0.9163113481","2025-06-28
2025-06-28
2025-06-28"
441,robust,"強健的
結實的
堅固的
耐用的
穩健的
精力充沛的","0.88336
0.88336
0.88336
0.88336
0.88336
0.88336","2025-02-27
2025-02-27
2025-02-27
2025-02-27
2025-02-27
2025-02-27"
442,arrogant,"傲慢的
自大的
目中無人的","0.88336
0.88336
0.88336","2025-02-27
2025-02-27
2025-02-27"
443,surrogate,"代理人
替代品
代孕母親","0.8596768
0.8596768
0.8596768","2025-06-22
2025-06-22
2025-06-22"
444,sacrosanct,"神聖不可侵犯的
極其重要的
不容置疑的","0.9199885888
0.9199885888
0.9199885888","2025-03-08
2025-03-08
2025-03-08"
445,prescription,"處方
藥方
規定
規章
指示
建議","0.828171904
0.828171904
0.828171904
0.828171904
0.828171904
0.828171904","2025-03-10
2025-03-10
2025-03-10
2025-03-10
2025-03-10
2025-03-10"
446,supersede,"取代
代替
廢棄","0.8818716252
0.8818716252
0.8818716252","2025-02-27
2025-02-27
2025-02-27"
447,disseminate,"傳播
散佈
廣播","0.9060904346
0.9060904346
0.9060904346","2025-06-22
2025-06-22
2025-06-22"
448,dissipate,"消散
消失
驅散
浪費
耗盡","0.8548761065
0.8548761065
0.8548761065
0.8548761065
0.8548761065","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
449,somnolent,"想睡的
困倦的
催眠的
引起睡意的","0.8919407873
0.8919407873
0.8919407873
0.8919407873","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
450,soporific,"催眠的
令人昏昏欲睡的
安眠藥","0.8921037203
0.8921037203
0.8921037203","2025-03-10
2025-03-10
2025-03-10"
451,speculative,"推測性的
思索性的
投機性的","0.9369360179
0.9369360179
0.9369360179","2025-06-22
2025-06-22
2025-06-22"
452,aspersion,"誹謗
中傷
潑污水","0.8664983801
0.8664983801
0.8664983801","2025-03-10
2025-03-10
2025-03-10"
453,understated,"低調的
樸素的
不張揚的","0.8676904346
0.8676904346
0.8676904346","2025-06-22
2025-06-22
2025-06-22"
454,outstrip,"超越
勝過
跑過","0.9041935974
0.9041935974
0.9041935974","2025-02-27
2025-02-27
2025-02-27"
455,resurge,"再起
復甦
重新興起","0.9359451136
0.9359451136
0.9359451136","2025-06-22
2025-06-22
2025-06-22"
456,abstain,"戒除
棄權
忍住","0.90562816
0.90562816
0.90562816","2025-03-04
2025-03-04
2025-03-04"
457,tenacious,"堅韌的
頑強的
固執的","0.9194067712
0.9194067712
0.9194067712","2025-02-27
2025-02-27
2025-02-27"
458,intransigent,"不妥協的
不讓步的
不讓步分子","0.8281865458
0.8281865458
0.8281865458","2025-03-10
2025-03-10
2025-03-10"
459,utilitarian,"功利主義的
實用的
功利主義者","0.9119149926
0.9119149926
0.9119149926","2025-06-28
2025-06-28
2025-06-28"
460,vacuous,"空虛的
茫然的
無意義的","0.860418112
0.860418112
0.860418112","2025-06-28
2025-06-28
2025-06-28"
461,veracious,"誠實的
真實的
說真話的","0.7703507222
0.7703507222
0.7703507222","2025-03-09
2025-03-09
2025-03-09"
462,verisimilitude,"逼真
貌似真實
寫實性","0.9145281408
0.9145281408
0.9145281408","2025-03-07
2025-03-07
2025-03-07"
463,adversary,"對手
敵手
對頭","0.8593802752
0.8593802752
0.8593802752","2025-06-22
2025-06-22
2025-06-22"
464,avert,"避開
轉移
防止","0.868018819
0.868018819
0.868018819","2025-06-22
2025-06-22
2025-06-22"
465,subvert,"顛覆
推翻
破壞","0.881427475
0.881427475
0.881427475","2025-03-10
2025-03-10
2025-03-10"
466,versatile,"多才多藝的
多功能的
用途廣泛的","0.9212032
0.9212032
0.9212032","2025-03-08
2025-03-08
2025-03-08"
467,revile,"辱罵
謾罵
痛斥","0.8827589222
0.8827589222
0.8827589222","2025-02-27
2025-02-27
2025-02-27"
468,envision,"想像
預想","0.9212032
0.9212032","2025-03-08
2025-03-08"
469,convoluted,"盤繞的
錯綜複雜的
費解的","0.9212032
0.9212032
0.9212032","2025-03-08
2025-03-08
2025-03-08"
470,promulgate,"頒布
公布
散布","0.8293619989
0.8293619989
0.8293619989","2025-03-10
2025-03-10
2025-03-10"
471,albeit,"儘管
雖然","0.8579359036
0.8579359036","2025-06-28
2025-06-28"
472,ascetic,"禁慾的
苦行的
禁慾主義者
苦行僧","0.9212032
0.9212032
0.9212032
0.9212032","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
473,atodds,"不同於
","0.8044510618
0.8044510618","2025-06-28
2025-06-28"
474,berate,"嚴厲指責
訓斥","0.8992838656
0.8992838656","2025-02-27
2025-02-27"
475,caterwaul,"發出貓叫春般的聲音
發出尖銳刺耳的聲音
大聲抱怨","0.91575136
0.91575136
0.91575136","2025-03-07
2025-03-07
2025-03-07"
476,coerce,"脅迫
強迫
施壓","0.8579229491
0.8579229491
0.8579229491","2025-06-22
2025-06-22
2025-06-22"
477,cogent,"有說服力的
令人信服的
中肯的","0.8433243536
0.8433243536
0.8433243536","2025-03-10
2025-03-10
2025-03-10"
478,dabble,"涉獵
淺嘗
玩水","0.8990268482
0.8990268482
0.8990268482","2025-06-22
2025-06-22
2025-06-22"
479,decimate,"大量毀滅
大量殺戮
嚴重削弱","0.8848077061
0.8848077061
0.8848077061","2025-06-22
2025-06-22
2025-06-22"
480,decry,"公開譴責
詆毀","0.87574528
0.87574528","2025-03-10
2025-03-10"
481,defy,"公然反抗
違抗
使...不可能","0.9212032
0.9212032
0.9212032","2025-03-08
2025-03-08
2025-03-08"
482,edify,"啟迪
教化","0.90710272
0.90710272","2025-02-27
2025-02-27"
483,encomium,"頌詞
讚美詞","0.8924266576
0.8924266576","2025-03-10
2025-03-10"
484,espouse,"擁護
支持 (理論、信仰等)
娶 (舊義)","0.8982134263
0.8982134263
0.8982134263","2025-02-27
2025-02-27
2025-02-27"
485,extol,"讚揚
頌揚","0.8594308178
0.8594308178","2025-06-28
2025-06-28"
486,fleeting,"短暫的
飛逝的","0.8580158464
0.8580158464","2025-06-22
2025-06-22"
487,foreshadow,"預示
預兆","0.9212032
0.9212032","2025-03-08
2025-03-08"
488,fortuitous,"偶然發生的
碰巧的
幸運的","0.7027564176
0.7027564176
0.7027564176","2025-03-10
2025-03-10
2025-03-10"
489,honorific,"表示敬意的 (詞語)
敬語","0.9212032
0.9212032","2025-03-08
2025-03-08"
490,irenic,"和平的
旨在促進和平的","0.9253018
0.9253018","2025-03-08
2025-03-08"
491,jeopardize,"危及
危害","0.8580158464
0.8580158464","2025-06-22
2025-06-22"
492,latent,"潛伏的
隱藏的
尚未發展的","0.858556084
0.858556084
0.858556084","2025-06-22
2025-06-22
2025-06-22"
493,parochial,"狹隘的
地方性的
教區的","0.9162315712
0.9162315712
0.9162315712","2025-06-28
2025-06-28
2025-06-28"
494,rarefied,"稀薄的 (空氣)
精緻的
只有少數人理解的","0.854454784
0.854454784
0.854454784","2025-06-22
2025-06-22
2025-06-22"
495,scathing,"嚴厲的
尖刻的","0.925682176
0.925682176","2025-03-08
2025-03-08"
496,shrewd,"精明的
敏銳的
機靈的","0.8065312166
0.8065312166
0.8065312166","2025-03-08
2025-03-08
2025-03-08"
497,snobbery,"勢利眼
勢利行為
自命不凡","0.85222675
0.85222675
0.85222675","2025-03-09
2025-03-09
2025-03-09"
498,sound,"聲音
健全的
穩固的
可靠的
合理的
徹底的
聽起來
發出聲音
探測","0.8949376
0.8949376
0.8949376
0.8949376
0.8949376
0.8949376
0.8949376
0.8949376
0.8949376","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
499,spurn,"輕蔑地拒絕
唾棄","0.836886214
0.836886214","2025-03-10
2025-03-10"
500,substantial,"大量的
實質的
重要的
堅固的
可觀的","0.855960064
0.855960064
0.855960064
0.855960064
0.855960064","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
501,trifling,"微不足道的
瑣碎的
不重要的","0.8532928184
0.8532928184
0.8532928184","2025-06-22
2025-06-22
2025-06-22"
502,tyranny,"暴政
專制統治
暴行","0.89383168
0.89383168
0.89383168","2025-06-28
2025-06-28
2025-06-28"
503,universality,"普遍性
廣泛性
普遍有效性","0.845664256
0.845664256
0.845664256","2025-03-08
2025-03-08
2025-03-08"
504,wane,"衰落
減弱
虧缺 (指月亮)","0.8790270976
0.8790270976
0.8790270976","2025-06-28
2025-06-28
2025-06-28"
505,acerbic,"尖刻的
刻薄的
酸澀的","0.890292736
0.890292736
0.890292736","2025-06-22
2025-06-22
2025-06-22"
506,acumen,"敏銳
聰明
洞察力","0.85222675
0.85222675
0.85222675","2025-03-09
2025-03-09
2025-03-09"
507,agitated,"激動的
焦慮不安的
攪動的","0.8949376
0.8949376
0.8949376","2025-06-28
2025-06-28
2025-06-28"
508,agony,"極度痛苦
劇痛
掙扎","0.92037376
0.92037376
0.92037376","2025-02-27
2025-02-27
2025-02-27"
509,protagonist,"主角
主要人物
倡導者
領袖","0.92037376
0.92037376
0.92037376
0.92037376","2025-02-27
2025-02-27
2025-02-27
2025-02-27"
510,peregrinate,"旅行
遊歷","0.7844992819
0.7844992819","2025-03-04
2025-03-04"
511,alienation,"疏遠
離間
異化","0.859499008
0.859499008
0.859499008","2025-06-22
2025-06-22
2025-06-22"
512,alternative,"替代方案
選擇
替代的","0.918604288
0.918604288
0.918604288","2025-02-27
2025-02-27
2025-02-27"
513,amiable,"和藹可親的
友好的","0.918604288
0.918604288","2025-02-27
2025-02-27"
514,enamored,"迷戀的
傾心的","0.8746722427
0.8746722427","2025-06-22
2025-06-22"
515,animadvert,"批評
非難","0.8448772211
0.8448772211","2025-03-08
2025-03-08"
516,animosity,"敵意
憎恨","0.8842293453
0.8842293453","2025-06-22
2025-06-22"
517,perennial,"常年的
多年生的
持久的","0.8142268144
0.8142268144
0.8142268144","2025-03-09
2025-03-09
2025-03-09"
518,antiquated,"過時的
陳舊的","0.8949376
0.8949376","2025-06-28
2025-06-28"
519,asteroid,小行星,0.8949376,2025-06-28
520,banish,"放逐
驅逐
消除","0.7175067443
0.7175067443
0.7175067443","2025-06-28
2025-06-28
2025-06-28"
521,base,"基礎
基地
底座
卑鄙的
低級的","0.8949376
0.8949376
0.8949376
0.8949376
0.8949376","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
522,beneficent,"行善的
有益的","0.8813903258
0.8813903258","2025-02-27
2025-02-27"
523,benevolent,"仁慈的
樂善好施的","0.8510803444
0.8510803444","2025-03-09
2025-03-09"
524,blithe,"愉快的
無憂無慮的","0.85242112
0.85242112","2025-03-10
2025-03-10"
525,bombastic,"浮誇的
誇張的","0.8949376
0.8949376","2025-06-28
2025-06-28"
526,recalcitrant,"不服從的
桀驁不馴的
難以控制的","0.8424275485
0.8424275485
0.8424275485","2025-03-10
2025-03-10
2025-03-10"
527,incessant,"不停的
連續的
沒完沒了的","0.848201637
0.848201637
0.848201637","2025-03-09
2025-03-09
2025-03-09"
528,unprecedented,"史無前例的
前所未有的","0.92037376
0.92037376","2025-03-08
2025-03-08"
529,eccentric,"古怪的
怪異的
異乎尋常的","0.92037376
0.92037376
0.92037376","2025-02-27
2025-02-27
2025-02-27"
530,susceptible,"易受影響的
易受感染的
易患病的
敏感的","0.883804672
0.883804672
0.883804672
0.883804672","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
531,chronological,"按時間順序的
年代學的","0.8949376
0.8949376","2025-06-28
2025-06-28"
532,exorcise,"驅逐 (惡魔)
驅除 (邪念、恐懼等)","0.87080896
0.87080896","2025-06-22
2025-06-22"
533,decipher,"破譯 (密碼)
辨認 (潦草的字跡)
理解 (難懂的事物)","0.851512
0.851512
0.851512","2025-03-09
2025-03-09
2025-03-09"
534,insouciance,"漫不經心
無憂無慮","0.8439834255
0.8439834255","2025-03-10
2025-03-10"
535,proclaim,"宣佈
聲明
公開表示","0.889408
0.889408
0.889408","2025-06-28
2025-06-28
2025-06-28"
536,disinclination,"不情願
不樂意
不願做某事","0.890463404
0.890463404
0.890463404","2025-06-22
2025-06-22
2025-06-22"
537,proclivity,"傾向
癖性
習性","0.897292
0.897292
0.897292","2025-06-28
2025-06-28
2025-06-28"
538,recognize,"認出
辨認出
承認
確認
欣賞","0.91252
0.91252
0.91252
0.91252
0.91252","2025-03-07
2025-03-07
2025-03-07
2025-03-07
2025-03-07"
539,cosmopolitan,"世界性的
國際性的
見多識廣的
世界公民","0.847792
0.847792
0.847792
0.847792","2025-03-09
2025-03-09
2025-03-09
2025-03-09"
540,autocracy,"獨裁
專制政府
獨裁統治","0.847792
0.847792
0.847792","2025-03-09
2025-03-09
2025-03-09"
541,indiscriminate,"不加區別的
不分青紅皂白的
任意的
隨意的","0.847792
0.847792
0.847792
0.847792","2025-03-09
2025-03-09
2025-03-09
2025-03-09"
542,incubate,"孵化
孵育
培養（細菌、病毒等）
醞釀（思想、計劃等）
潛伏（疾病）","0.897292
0.897292
0.897292
0.897292
0.897292","2025-06-28
2025-06-28
2025-06-28
2025-06-28
2025-06-28"
543,covet,"覬覦
貪求
渴望（尤指別人擁有的東西）","0.8716920463
0.8716920463
0.8716920463","2025-06-22
2025-06-22
2025-06-22"
544,cursory,"粗略的
草率的
膚淺的","0.8887670579
0.8887670579
0.8887670579","2025-06-22
2025-06-22
2025-06-22"
545,discourse,"演講
論述
談話
語篇","0.889408
0.889408
0.889408
0.889408","2025-06-28
2025-06-28
2025-06-28
2025-06-28"
546,decorum,"禮儀
禮節
得體
端莊","0.852544
0.852544
0.852544
0.852544","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
547,endemic,"地方性的
（疾病、現象等）某地特有的
流行的","0.8672896
0.8672896
0.8672896","2025-06-22
2025-06-22
2025-06-22"
548,divergent,"分歧的
相異的
偏離的
（意見、道路等）不同的","0.72793344
0.72793344
0.72793344
0.72793344","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
549,dubious,"可疑的
不確定的
不靠譜的
半信半疑的","0.8438670336
0.8438670336
0.8438670336
0.8438670336","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
550,docile,"溫順的
馴服的
易管教的","0.858313216
0.858313216
0.858313216","2025-06-28
2025-06-28
2025-06-28"
551,doctrinaire,"教條主義的
迂腐的
理論至上的（常含貶義）","0.887147008
0.887147008
0.887147008","2025-06-28
2025-06-28
2025-06-28"
552,indolent,"懶惰的
怠惰的
不活躍的","0.81346225
0.81346225
0.81346225","2025-06-22
2025-06-22
2025-06-22"
553,dormant,"休眠的
潛伏的
不活躍的
暫時停止活動的","0.8672896
0.8672896
0.8672896
0.8672896","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
554,conducive,"有助於…的
有利於…的
有益於…的","0.83666608
0.83666608
0.83666608","2025-03-10
2025-03-10
2025-03-10"
555,endure,"忍受
持續
經受","0.8672896
0.8672896
0.8672896","2025-06-22
2025-06-22
2025-06-22"
556,obdurate,"頑固的
執拗的
冷酷的","0.85632256
0.85632256
0.85632256","2025-06-28
2025-06-28
2025-06-28"
557,equilibrium,"平衡
均勢
（心情）平靜","0.57772032
0.57772032
0.57772032","2025-03-09
2025-03-09
2025-03-09"
558,inert,"不活動的
惰性的
遲鈍的","0.84652288
0.84652288
0.84652288","2025-06-28
2025-06-28
2025-06-28"
559,quintessential,"最典型的
精髓的","0.7220352
0.7220352","2025-03-10
2025-03-10"
560,pitfall,"陷阱
隱患
困難","0.8599168
0.8599168
0.8599168","2025-06-22
2025-06-22
2025-06-22"
561,fanciful,"異想天開的
奇特的
空想的","0.8125024
0.8125024
0.8125024","2025-06-22
2025-06-22
2025-06-22"
562,forfeit,"（因犯規、錯誤）喪失
沒收物
罰金","0.8838784
0.8838784
0.8838784","2025-06-22
2025-06-22
2025-06-22"
563,infelicitous,"不恰當的
不幸的
不適當的","0.856821611
0.856821611
0.856821611","2025-06-28
2025-06-28
2025-06-28"
564,confess,"承認
坦白
懺悔","0.852688
0.852688
0.852688","2025-03-09
2025-03-09
2025-03-09"
565,munificent,"慷慨的
寬宏大量的","0.8409310208
0.8409310208","2025-03-10
2025-03-10"
566,diffident,"缺乏自信的
膽怯的
羞怯的","0.84232
0.84232
0.84232","2025-03-08
2025-03-08
2025-03-08"
567,figurative,"比喻的
形象的
象徵的","0.81436864
0.81436864
0.81436864","2025-06-28
2025-06-28
2025-06-28"
568,confine,"限制
監禁
禁閉","0.8672896
0.8672896
0.8672896","2025-06-22
2025-06-22
2025-06-22"
569,flamboyant,"華麗的
炫耀的
過於裝飾的
引人注目的","0.84232
0.84232
0.84232
0.84232","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
570,conflate,"合併
混合","0.81523372
0.81523372","2025-06-28
2025-06-28"
571,formulaic,"公式化的
刻板的","0.8428672
0.8428672","2025-03-08
2025-03-08"
572,fractious,"易怒的
難駕馭的
不服管的","0.8074264
0.8074264
0.8074264","2025-03-08
2025-03-08
2025-03-08"
573,refractory,"難駕馭的
難治療的 (疾病)
耐火的 (材料)","0.85594672
0.85594672
0.85594672","2025-06-28
2025-06-28
2025-06-28"
574,suffrage,"選舉權
投票權","0.8838784
0.8838784","2025-06-22
2025-06-22"
575,fraudulent,"詐欺的
欺騙性的","0.8393882852
0.8393882852","2025-03-08
2025-03-08"
576,effrontery,"厚顏無恥
魯莽","0.8672896
0.8672896","2025-06-22
2025-06-22"
577,fulminate,"嚴厲譴責
猛烈抨擊
爆炸","0.794083
0.794083
0.794083","2025-03-07
2025-03-07
2025-03-07"
578,founder,"創立者
奠基人
失敗
沉沒 (船隻)","0.7966848
0.7966848
0.7966848
0.7966848","2025-03-10
2025-03-10
2025-03-10
2025-03-10"
579,effusive,"熱情洋溢的
過度表達感情的","0.8530048
0.8530048","2025-06-28
2025-06-28"
580,infuse,"注入
灌輸
浸泡 (茶葉等)","0.83666608
0.83666608
0.83666608","2025-03-10
2025-03-10
2025-03-10"
581,refutable,"可駁斥的
可反駁的","0.8672896
0.8672896","2025-06-22
2025-06-22"
582,generic,"一般的
通用的
非專利的 (藥品等)","0.85106944
0.85106944
0.85106944","2025-03-09
2025-03-09
2025-03-09"
583,degenerate,"墮落
退化 (動詞)
墮落的 (形容詞)
墮落者 (名詞)","0.8125024
0.8125024
0.8125024
0.8125024","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
584,indigenous,"本土的
原產的
土著的","0.8428672
0.8428672
0.8428672","2025-03-08
2025-03-08
2025-03-08"
585,ingest,"攝取
吞下
吸收 (信息等)","0.8428672
0.8428672
0.8428672","2025-03-08
2025-03-08
2025-03-08"
586,ingrain,"根深蒂固
使銘記在心
使成為習慣","0.852544
0.852544
0.852544","2025-03-10
2025-03-10
2025-03-10"
587,aggravate,"加重
使惡化
惹惱
激怒","0.846672256
0.846672256
0.846672256
0.846672256","2025-03-08
2025-03-08
2025-03-08
2025-03-08"
588,coherent,"連貫的
條理清晰的
有邏輯的
一致的","0.8245504
0.8245504
0.8245504
0.8245504","2025-03-04
2025-03-04
2025-03-04
2025-03-04"
589,hortative,"勸告性的
鼓勵性的
激勵性的","0.852544
0.852544
0.852544","2025-03-10
2025-03-10
2025-03-10"
590,humble,"謙遜的
卑微的
低下的
使謙遜
使感到羞辱
使地位下降","0.8428672
0.8428672
0.8428672
0.8428672
0.8428672
0.8428672","2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08
2025-03-08"
591,itinerant,"巡迴的
流動的
遊歷的
巡迴者
遊歷者","0.81070144
0.81070144
0.81070144
0.81070144
0.81070144","2025-03-10
2025-03-10
2025-03-10
2025-03-10
2025-03-10"
592,disjunctive,"分離的
分離性的
不連貫的
表示選擇或對立的 (語法)","0.852544
0.852544
0.852544
0.852544","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
593,abjure,"公開聲明放棄
發誓放棄
拋棄","0.8044365005
0.8044365005
0.8044365005","2025-06-28
2025-06-28
2025-06-28"
594,conjure,"變戲法
召喚 (靈魂或魔鬼)
想像出
喚起 (記憶或影像)
祈求","0.88424704
0.88424704
0.88424704
0.88424704
0.88424704","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
595,jubilation,"歡慶
慶祝
歡騰","0.8704
0.8704
0.8704","2025-06-22
2025-06-22
2025-06-22"
596,rejuvenate,"使恢復青春
使恢復活力
使煥然一新","0.8731
0.8731
0.8731","2025-06-22
2025-06-22
2025-06-22"
597,allegiance,"忠誠
效忠
擁護","0.858966528
0.858966528
0.858966528","2025-06-28
2025-06-28
2025-06-28"
598,legitimate,"合法的
正當的
合理的
正規的
使合法化
使正當化","0.73632
0.73632
0.73632
0.73632
0.73632
0.73632","2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22
2025-06-22"
599,apologist,"辯護者
擁護者
護教者","0.852544
0.852544
0.852544","2025-06-22
2025-06-22
2025-06-22"
600,eloquence,"雄辯
口才","0.852544
0.852544","2025-06-22
2025-06-22"
601,elucidate,"闡明
解釋","0.83872
0.83872","2025-03-10
2025-03-10"
602,disillusioned,"幻想破滅的
醒悟的","0.852544
0.852544","2025-06-22
2025-06-22"
603,ludicrous,"荒謬的
可笑的","0.8068
0.8068","2025-03-08
2025-03-08"
604,malady,"疾病
弊病","0.8704
0.8704","2025-06-22
2025-06-22"
605,malevolent,"惡意的
壞心腸的","0.831808
0.831808","2025-03-10
2025-03-10"
606,manipulate,"操縱
處理","0.852544
0.852544","2025-06-22
2025-06-22"
607,premeditate,"預謀
預先考慮","0.852544
0.852544","2025-06-22
2025-06-22"
608,commensurate,"相稱的
等量的","0.852544
0.852544","2025-06-22
2025-06-22"
609,imminent,"即將發生的
迫近的","0.859456
0.859456","2025-06-22
2025-06-22"
610,preeminent,"卓越的
傑出的","0.831808
0.831808","2025-03-10
2025-03-10"
611,mire,"泥沼
困境
使陷入困境","0.78995712
0.78995712
0.78995712","2025-06-22
2025-06-22
2025-06-22"
612,dismiss,"解僱
駁回
不予考慮","0.852544
0.852544
0.852544","2025-06-22
2025-06-22
2025-06-22"
613,unremitting,"不間斷的
持續不斷的","0.68009216
0.68009216","2025-03-08
2025-03-08"
614,moderate,"適度的
溫和的
節制
緩和","0.852544
0.852544
0.852544
0.852544","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
615,outmoded,"過時的
老式的","0.80691456
0.80691456","2025-06-28
2025-06-28"
616,mordant,"尖酸刻薄的
諷刺的
腐蝕性的","0.8023046267
0.8023046267
0.8023046267","2025-06-28
2025-06-28
2025-06-28"
617,remorse,"懊悔
悔恨
自責","0.834112
0.834112
0.834112","2025-03-10
2025-03-10
2025-03-10"
618,tantamount,"等同於
相當於","0.7998974976
0.7998974976","2025-06-28
2025-06-28"
619,negligent,"疏忽的
過失的
玩忽職守的","0.808015
0.808015
0.808015","2025-03-09
2025-03-09
2025-03-09"
620,negligible,"微不足道的
可忽略不計的","0.87202
0.87202","2025-06-22
2025-06-22"
621,denigrate,"誹謗
詆毀
貶低","0.865659392
0.865659392
0.865659392","2025-06-22
2025-06-22
2025-06-22"
622,pernicious,"有害的
惡性的
致命的","0.834209272
0.834209272
0.834209272","2025-03-10
2025-03-10
2025-03-10"
623,normative,"規範的
標準的
準則的","0.85923712
0.85923712
0.85923712","2025-06-22
2025-06-22
2025-06-22"
624,novelty,"新奇
新鮮事物
新穎性","0.83577088
0.83577088
0.83577088","2025-03-10
2025-03-10
2025-03-10"
625,annihilate,"殲滅
徹底摧毀
使歸於烏有","0.85122784
0.85122784
0.85122784","2025-03-10
2025-03-10
2025-03-10"
626,ominous,"不祥的
惡兆的
預示厄運的","0.78307584
0.78307584
0.78307584","2025-06-22
2025-06-22
2025-06-22"
627,optimal,"最佳的
最理想的","0.834112
0.834112","2025-03-10
2025-03-10"
628,opulent,"富裕的
奢華的
豐饒的","0.8025076736
0.8025076736
0.8025076736","2025-06-28
2025-06-28
2025-06-28"
629,inexorable,"不可阻擋的
無情的
不可動搖的","0.8566197504
0.8566197504
0.8566197504","2025-06-28
2025-06-28
2025-06-28"
630,subordinate,"下屬
從屬的
次要的
使從屬","0.85923712
0.85923712
0.85923712
0.85923712","2025-06-22
2025-06-22
2025-06-22
2025-06-22"
631,transparent,"透明的
清楚易懂的
坦率的","0.849529344
0.849529344
0.849529344","2025-06-28
2025-06-28
2025-06-28"
632,counterpart,"對應的人或物
互補的部分","0.8081089536
0.8081089536","2025-06-28
2025-06-28"
633,penalty,"懲罰
罰款
罰球","0.834112
0.834112
0.834112","2025-03-10
2025-03-10
2025-03-10"
634,compendium,"概要
概論
彙編","0.8079717674
0.8079717674
0.8079717674","2025-06-28
2025-06-28
2025-06-28"
635,pensive,"沉思的
憂鬱的","0.79044864
0.79044864","2025-06-28
2025-06-28"
636,impetus,"推動力
刺激
動力","0.8780464
0.8780464
0.8780464","2025-06-28
2025-06-28
2025-06-28"
637,ephemeral,"短暫的
瞬息萬變的","0.84858175
0.84858175","2025-03-10
2025-03-10"
638,aphorism,"格言
警句","0.7824653722
0.7824653722","2025-06-22
2025-06-22"
639,metaphor,"隱喻
暗喻","0.834112
0.834112","2025-03-10
2025-03-10"
640,piety,"虔誠
孝順","0.6587078451
0.6587078451","2025-06-28
2025-06-28"
641,placate,"安撫
撫慰
使和解","0.7916270592
0.7916270592
0.7916270592","2025-06-28
2025-06-28
2025-06-28"
642,supplant,"取代
排擠","0.705792
0.705792","2025-03-10
2025-03-10"
643,complementary,"互補的
補充的","0.737616
0.737616","2025-06-22
2025-06-22"
644,compliance,"順從
遵守
符合","0.843904
0.843904
0.843904","2025-03-10
2025-03-10
2025-03-10"
645,duplicitous,"兩面派的
奸詐的
口是心非的","0.7902258176
0.7902258176
0.7902258176","2025-06-22
2025-06-22
2025-06-22"
646,extrapolate,"推斷
外推
估計","0.7921722368
0.7921722368
0.7921722368","2025-03-07
2025-03-07
2025-03-07"
647,ponderous,"笨重的
沉悶的
冗長的","0.792381952
0.792381952
0.792381952","2025-03-07
2025-03-07
2025-03-07"
648,opportune,"及時的
恰當的
合時宜的","0.7912995594
0.7912995594
0.7912995594","2025-06-28
2025-06-28
2025-06-28"
649,opportunistic,"機會主義的
投機取巧的","0.7942693888
0.7942693888","2025-03-07
2025-03-07"
650,purport,"聲稱
據稱
主旨
意義","0.7902848
0.7902848
0.7902848
0.7902848","2025-03-04
2025-03-04
2025-03-04
2025-03-04"
651,posit,"假設
斷定
提出","0.8015884493
0.8015884493
0.8015884493","2025-06-28
2025-06-28
2025-06-28"
